"Plot Title: 20946478"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20946478, SEN S/N: 20946478)","Intensity, Lux (LGR S/N: 20946478, SEN S/N: 20946478)","Coupler Attached (LGR S/N: 20946478)","Coupler Detached (LGR S/N: 20946478)","Host Connected (LGR S/N: 20946478)","Stopped (LGR S/N: 20946478)","End Of File (LGR S/N: 20946478)"
1,09/27/21 11:30:00 AM,29.652,0.0,,,,,
2,09/27/21 11:45:00 AM,30.862,0.0,,,,,
3,09/27/21 12:00:00 PM,30.659,0.0,,,,,
4,09/27/21 12:15:00 PM,29.953,0.0,,,,,
5,09/27/21 12:30:00 PM,29.652,0.0,,,,,
6,09/27/21 12:45:00 PM,30.154,0.0,,,,,
7,09/27/21 01:00:00 PM,30.255,0.0,,,,,
8,09/27/21 01:15:00 PM,31.268,0.0,,,,,
9,09/27/21 01:30:00 PM,33.014,0.0,,,,,
10,09/27/21 01:45:00 PM,36.511,0.0,,,,,
11,09/27/21 02:00:00 PM,37.824,0.0,,,,,
12,09/27/21 02:15:00 PM,41.108,0.0,,,,,
13,09/27/21 02:30:00 PM,41.341,0.0,,,,,
14,09/27/21 02:45:00 PM,36.079,0.0,,,,,
15,09/27/21 03:00:00 PM,33.743,0.0,,,,,
16,09/27/21 03:15:00 PM,32.704,0.0,,,,,
17,09/27/21 03:30:00 PM,32.497,0.0,,,,,
18,09/27/21 03:45:00 PM,32.086,0.0,,,,,
19,09/27/21 04:00:00 PM,31.880,0.0,,,,,
20,09/27/21 04:15:00 PM,31.676,0.0,,,,,
21,09/27/21 04:30:00 PM,31.472,0.0,,,,,
22,09/27/21 04:45:00 PM,31.268,0.0,,,,,
23,09/27/21 05:00:00 PM,31.472,0.0,,,,,
24,09/27/21 05:15:00 PM,31.370,0.0,,,,,
25,09/27/21 05:30:00 PM,30.659,0.0,,,,,
26,09/27/21 05:45:00 PM,30.154,0.0,,,,,
27,09/27/21 06:00:00 PM,29.552,0.0,,,,,
28,09/27/21 06:15:00 PM,28.853,0.0,,,,,
29,09/27/21 06:30:00 PM,27.764,0.0,,,,,
30,09/27/21 06:45:00 PM,26.683,0.0,,,,,
31,09/27/21 07:00:00 PM,25.708,0.0,,,,,
32,09/27/21 07:15:00 PM,24.641,0.0,,,,,
33,09/27/21 07:30:00 PM,23.677,0.0,,,,,
34,09/27/21 07:45:00 PM,22.812,0.0,,,,,
35,09/27/21 08:00:00 PM,22.142,0.0,,,,,
36,09/27/21 08:15:00 PM,21.569,0.0,,,,,
37,09/27/21 08:30:00 PM,21.187,0.0,,,,,
38,09/27/21 08:45:00 PM,20.805,0.0,,,,,
39,09/27/21 09:00:00 PM,20.615,0.0,,,,,
40,09/27/21 09:15:00 PM,20.424,0.0,,,,,
41,09/27/21 09:30:00 PM,20.329,0.0,,,,,
42,09/27/21 09:45:00 PM,20.424,0.0,,,,,
43,09/27/21 10:00:00 PM,20.615,0.0,,,,,
44,09/27/21 10:15:00 PM,20.710,0.0,,,,,
45,09/27/21 10:30:00 PM,20.615,0.0,,,,,
46,09/27/21 10:45:00 PM,20.424,0.0,,,,,
47,09/27/21 11:00:00 PM,20.329,0.0,,,,,
48,09/27/21 11:15:00 PM,20.234,0.0,,,,,
49,09/27/21 11:30:00 PM,20.138,0.0,,,,,
50,09/27/21 11:45:00 PM,20.043,0.0,,,,,
51,09/28/21 12:00:00 AM,19.948,0.0,,,,,
52,09/28/21 12:15:00 AM,19.853,0.0,,,,,
53,09/28/21 12:30:00 AM,19.662,0.0,,,,,
54,09/28/21 12:45:00 AM,19.567,0.0,,,,,
55,09/28/21 01:00:00 AM,19.758,0.0,,,,,
56,09/28/21 01:15:00 AM,20.329,0.0,,,,,
57,09/28/21 01:30:00 AM,20.901,0.0,,,,,
58,09/28/21 01:45:00 AM,21.091,0.0,,,,,
59,09/28/21 02:00:00 AM,21.187,0.0,,,,,
60,09/28/21 02:15:00 AM,21.282,0.0,,,,,
61,09/28/21 02:30:00 AM,21.282,0.0,,,,,
62,09/28/21 02:45:00 AM,21.187,0.0,,,,,
63,09/28/21 03:00:00 AM,21.187,0.0,,,,,
64,09/28/21 03:15:00 AM,20.996,0.0,,,,,
65,09/28/21 03:30:00 AM,20.805,0.0,,,,,
66,09/28/21 03:45:00 AM,20.710,0.0,,,,,
67,09/28/21 04:00:00 AM,20.519,0.0,,,,,
68,09/28/21 04:15:00 AM,20.234,0.0,,,,,
69,09/28/21 04:30:00 AM,20.043,0.0,,,,,
70,09/28/21 04:45:00 AM,19.853,0.0,,,,,
