"Plot Title: 20946480"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20946480, SEN S/N: 20946480)","Intensity, Lux (LGR S/N: 20946480, SEN S/N: 20946480)","Coupler Detached (LGR S/N: 20946480)","Coupler Attached (LGR S/N: 20946480)","Host Connected (LGR S/N: 20946480)","Stopped (LGR S/N: 20946480)","End Of File (LGR S/N: 20946480)"
1,09/02/21 04:15:00 PM,27.665,0.0,,,,,
2,09/02/21 04:15:04 PM,,,Logged,,,,
3,09/02/21 04:30:00 PM,28.754,0.0,,,,,
4,09/02/21 04:45:00 PM,28.060,10.8,,,,,
5,09/02/21 05:00:00 PM,27.961,21.5,,,,,
6,09/02/21 05:15:00 PM,27.961,0.0,,,,,
7,09/02/21 05:30:00 PM,27.272,21.5,,,,,
8,09/02/21 05:45:00 PM,26.977,32.3,,,,,
9,09/02/21 06:00:00 PM,26.781,43.1,,,,,
10,09/02/21 06:15:00 PM,26.488,43.1,,,,,
11,09/02/21 06:30:00 PM,26.195,64.6,,,,,
12,09/02/21 06:45:00 PM,26.000,75.3,,,,,
13,09/02/21 07:00:00 PM,25.610,107.6,,,,,
14,09/02/21 07:15:00 PM,25.028,129.2,,,,,
15,09/02/21 07:30:00 PM,24.545,269.1,,,,,
16,09/02/21 07:45:00 PM,24.255,1636.1,,,,,
17,09/02/21 08:00:00 PM,24.158,1808.3,,,,,
18,09/02/21 08:15:00 PM,23.966,1636.1,,,,,
19,09/02/21 08:30:00 PM,23.869,1550.0,,,,,
20,09/02/21 08:45:00 PM,23.869,1636.1,,,,,
21,09/02/21 09:00:00 PM,23.677,1463.9,,,,,
22,09/02/21 09:15:00 PM,23.292,1463.9,,,,,
23,09/02/21 09:30:00 PM,22.908,1463.9,,,,,
24,09/02/21 09:45:00 PM,23.004,1377.8,,,,,
25,09/02/21 10:00:00 PM,22.812,1313.2,,,,,
26,09/02/21 10:15:00 PM,23.004,1205.6,,,,,
27,09/02/21 10:30:00 PM,23.196,37200.2,,,,,
28,09/02/21 10:45:00 PM,23.100,129.2,,,,,
29,09/02/21 11:00:00 PM,23.100,129.2,,,,,
30,09/02/21 11:15:00 PM,23.004,118.4,,,,,
31,09/02/21 11:30:00 PM,23.004,118.4,,,,,
32,09/02/21 11:45:00 PM,22.908,118.4,,,,,
33,09/03/21 12:00:00 AM,23.004,107.6,,,,,
34,09/03/21 12:15:00 AM,23.100,107.6,,,,,
35,09/03/21 12:30:00 AM,23.004,107.6,,,,,
36,09/03/21 12:45:00 AM,23.004,96.9,,,,,
37,09/03/21 01:00:00 AM,23.004,96.9,,,,,
38,09/03/21 01:15:00 AM,22.908,96.9,,,,,
39,09/03/21 01:30:00 AM,22.717,96.9,,,,,
40,09/03/21 01:45:00 AM,22.621,96.9,,,,,
41,09/03/21 02:00:00 AM,22.717,96.9,,,,,
42,09/03/21 02:15:00 AM,22.717,96.9,,,,,
43,09/03/21 02:30:00 AM,22.525,96.9,,,,,
44,09/03/21 02:45:00 AM,22.429,96.9,,,,,
45,09/03/21 03:00:00 AM,22.621,96.9,,,,,
46,09/03/21 03:15:00 AM,22.812,96.9,,,,,
47,09/03/21 03:30:00 AM,22.908,107.6,,,,,
48,09/03/21 03:45:00 AM,22.908,193.8,,,,,
49,09/03/21 04:00:00 AM,23.004,34444.7,,,,,
50,09/03/21 04:15:00 AM,23.100,30311.3,,,,,
51,09/03/21 04:30:00 AM,22.621,17222.3,,,,,
52,09/03/21 04:45:00 AM,22.621,28933.5,,,,,
53,09/03/21 05:00:00 AM,22.429,26178.0,,,,,
54,09/03/21 05:15:00 AM,22.333,27555.7,,,,,
55,09/03/21 05:30:00 AM,22.238,27555.7,,,,,
56,09/03/21 05:45:00 AM,22.046,28933.5,,,,,
57,09/03/21 06:00:00 AM,21.569,312.2,,,,,
58,09/03/21 06:15:00 AM,21.473,290.6,,,,,
59,09/03/21 06:30:00 AM,21.378,279.9,,,,,
60,09/03/21 06:45:00 AM,21.378,269.1,,,,,
61,09/03/21 07:00:00 AM,21.569,269.1,,,,,
62,09/03/21 07:15:00 AM,21.855,269.1,,,,,
63,09/03/21 07:30:00 AM,22.046,279.9,,,,,
64,09/03/21 07:45:00 AM,22.142,269.1,,,,,
65,09/03/21 08:00:00 AM,22.142,269.1,,,,,
66,09/03/21 08:15:00 AM,22.333,258.3,,,,,
67,09/03/21 08:30:00 AM,22.621,258.3,,,,,
68,09/03/21 08:45:00 AM,22.812,258.3,,,,,
69,09/03/21 09:00:00 AM,23.004,258.3,,,,,
70,09/03/21 09:15:00 AM,23.196,258.3,,,,,
71,09/03/21 09:30:00 AM,23.292,247.6,,,,,
72,09/03/21 09:45:00 AM,23.581,258.3,,,,,
73,09/03/21 10:00:00 AM,23.773,258.3,,,,,
74,09/03/21 10:15:00 AM,24.931,258.3,,,,,
75,09/03/21 10:30:00 AM,25.610,269.1,,,,,
76,09/03/21 10:45:00 AM,25.610,269.1,,,,,
77,09/03/21 11:00:00 AM,25.319,258.3,,,,,
78,09/03/21 11:15:00 AM,25.319,258.3,,,,,
79,09/03/21 11:30:00 AM,25.319,247.6,,,,,
80,09/03/21 11:45:00 AM,25.513,247.6,,,,,
81,09/03/21 12:00:00 PM,25.125,226.0,,,,,
82,09/03/21 12:15:00 PM,25.222,215.3,,,,,
83,09/03/21 12:30:00 PM,25.708,204.5,,,,,
84,09/03/21 12:45:00 PM,25.125,172.2,,,,,
85,09/03/21 01:00:00 PM,25.222,150.7,,,,,
86,09/03/21 01:15:00 PM,25.902,129.2,,,,,
87,09/03/21 01:30:00 PM,26.000,118.4,,,,,
88,09/03/21 01:45:00 PM,25.902,75.3,,,,,
89,09/03/21 02:00:00 PM,25.902,64.6,,,,,
90,09/03/21 02:15:00 PM,25.902,64.6,,,,,
91,09/03/21 02:30:00 PM,26.097,53.8,,,,,
92,09/03/21 02:45:00 PM,26.195,43.1,,,,,
93,09/03/21 03:00:00 PM,26.292,32.3,,,,,
94,09/03/21 03:15:00 PM,26.585,32.3,,,,,
95,09/03/21 03:30:00 PM,26.488,32.3,,,,,
96,09/03/21 03:45:00 PM,26.585,32.3,,,,,
97,09/03/21 04:00:00 PM,26.488,21.5,,,,,
98,09/03/21 04:15:00 PM,26.585,21.5,,,,,
99,09/03/21 04:30:00 PM,26.390,21.5,,,,,
100,09/03/21 04:45:00 PM,26.292,21.5,,,,,
101,09/03/21 05:00:00 PM,26.097,21.5,,,,,
102,09/03/21 05:15:00 PM,26.292,21.5,,,,,
103,09/03/21 05:30:00 PM,26.195,21.5,,,,,
104,09/03/21 05:45:00 PM,25.902,21.5,,,,,
105,09/03/21 06:00:00 PM,25.805,21.5,,,,,
106,09/03/21 06:15:00 PM,25.513,21.5,,,,,
107,09/03/21 06:30:00 PM,25.222,21.5,,,,,
108,09/03/21 06:45:00 PM,24.931,21.5,,,,,
109,09/03/21 07:00:00 PM,24.738,21.5,,,,,
110,09/03/21 07:15:00 PM,24.448,32.3,,,,,
111,09/03/21 07:30:00 PM,24.062,43.1,,,,,
112,09/03/21 07:45:00 PM,23.677,64.6,,,,,
113,09/03/21 08:00:00 PM,23.388,64.6,,,,,
114,09/03/21 08:15:00 PM,23.196,75.3,,,,,
115,09/03/21 08:30:00 PM,23.004,75.3,,,,,
116,09/03/21 08:45:00 PM,22.717,75.3,,,,,
117,09/03/21 09:00:00 PM,22.621,75.3,,,,,
118,09/03/21 09:15:00 PM,22.525,86.1,,,,,
119,09/03/21 09:30:00 PM,22.429,86.1,,,,,
120,09/03/21 09:45:00 PM,22.333,86.1,,,,,
121,09/03/21 10:00:00 PM,22.238,86.1,,,,,
122,09/03/21 10:15:00 PM,22.238,96.9,,,,,
