"Plot Title: 20946482"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20946482, SEN S/N: 20946482)","Intensity, Lux (LGR S/N: 20946482, SEN S/N: 20946482)","Coupler Attached (LGR S/N: 20946482)","Stopped (LGR S/N: 20946482)","End Of File (LGR S/N: 20946482)"
1,09/02/21 11:00:00 AM,28.754,0.0,,,
2,09/02/21 11:15:00 AM,28.159,0.0,,,
3,09/02/21 11:30:00 AM,27.468,0.0,,,
4,09/02/21 11:45:00 AM,26.977,0.0,,,
5,09/02/21 12:00:00 PM,26.879,0.0,,,
6,09/02/21 12:15:00 PM,26.781,0.0,,,
7,09/02/21 12:30:00 PM,27.075,0.0,,,
8,09/02/21 12:45:00 PM,27.468,0.0,,,
9,09/02/21 01:00:00 PM,27.567,0.0,,,
10,09/02/21 01:15:00 PM,27.665,0.0,,,
11,09/02/21 01:30:00 PM,27.961,0.0,,,
12,09/02/21 01:45:00 PM,28.357,0.0,,,
13,09/02/21 02:00:00 PM,28.853,0.0,,,
14,09/02/21 02:15:00 PM,31.880,0.0,,,
15,09/02/21 02:30:00 PM,32.600,0.0,,,
16,09/02/21 02:45:00 PM,30.760,0.0,,,
17,09/02/21 03:00:00 PM,29.152,0.0,,,
18,09/02/21 03:15:00 PM,27.862,0.0,,,
19,09/02/21 03:30:00 PM,27.173,0.0,,,
20,09/02/21 03:45:00 PM,26.683,0.0,,,
21,09/02/21 04:00:00 PM,26.390,0.0,,,
22,09/02/21 04:15:00 PM,26.390,0.0,,,
23,09/02/21 04:30:00 PM,26.781,0.0,,,
24,09/02/21 04:45:00 PM,27.961,0.0,,,
25,09/02/21 05:00:00 PM,28.754,0.0,,,
26,09/02/21 05:15:00 PM,28.655,0.0,,,
27,09/02/21 05:30:00 PM,27.764,0.0,,,
28,09/02/21 05:45:00 PM,27.173,0.0,,,
29,09/02/21 06:00:00 PM,26.781,0.0,,,
30,09/02/21 06:15:00 PM,26.390,0.0,,,
31,09/02/21 06:30:00 PM,25.902,0.0,,,
32,09/02/21 06:45:00 PM,25.513,0.0,,,
33,09/02/21 07:00:00 PM,25.125,0.0,,,
34,09/02/21 07:15:00 PM,24.738,10.8,,,
35,09/02/21 07:30:00 PM,24.448,21.5,,,
36,09/02/21 07:45:00 PM,24.351,21.5,,,
37,09/02/21 08:00:00 PM,24.158,21.5,,,
38,09/02/21 08:15:00 PM,24.062,21.5,,,
39,09/02/21 08:30:00 PM,23.966,21.5,,,
40,09/02/21 08:45:00 PM,23.966,21.5,,,
41,09/02/21 09:00:00 PM,23.773,21.5,,,
42,09/02/21 09:15:00 PM,23.388,21.5,,,
43,09/02/21 09:30:00 PM,22.908,21.5,,,
44,09/02/21 09:45:00 PM,23.004,21.5,,,
45,09/02/21 10:00:00 PM,22.908,43.1,,,
46,09/02/21 10:15:00 PM,23.004,43.1,,,
47,09/02/21 10:30:00 PM,23.100,129.2,,,
48,09/02/21 10:45:00 PM,23.100,139.9,,,
49,09/02/21 11:00:00 PM,23.100,118.4,,,
50,09/02/21 11:15:00 PM,23.004,107.6,,,
51,09/02/21 11:30:00 PM,23.004,96.9,,,
52,09/02/21 11:45:00 PM,22.908,96.9,,,
53,09/03/21 12:00:00 AM,23.004,96.9,,,
54,09/03/21 12:15:00 AM,23.004,96.9,,,
55,09/03/21 12:30:00 AM,23.100,96.9,,,
56,09/03/21 12:45:00 AM,23.004,86.1,,,
57,09/03/21 01:00:00 AM,23.004,86.1,,,
58,09/03/21 01:15:00 AM,22.908,86.1,,,
59,09/03/21 01:30:00 AM,22.812,86.1,,,
60,09/03/21 01:45:00 AM,22.621,86.1,,,
61,09/03/21 02:00:00 AM,22.621,86.1,,,
62,09/03/21 02:15:00 AM,22.717,86.1,,,
63,09/03/21 02:30:00 AM,22.621,75.3,,,
64,09/03/21 02:45:00 AM,22.429,75.3,,,
65,09/03/21 03:00:00 AM,22.525,75.3,,,
66,09/03/21 03:15:00 AM,22.717,75.3,,,
67,09/03/21 03:30:00 AM,22.812,75.3,,,
68,09/03/21 03:45:00 AM,22.812,96.9,,,
69,09/03/21 04:00:00 AM,22.908,86.1,,,
70,09/03/21 04:15:00 AM,23.004,129.2,,,
71,09/03/21 04:30:00 AM,22.333,333.7,,,
72,09/03/21 04:45:00 AM,21.951,172.2,,,
73,09/03/21 05:00:00 AM,21.473,107.6,,,
74,09/03/21 05:15:00 AM,20.996,75.3,,,
75,09/03/21 05:30:00 AM,20.901,64.6,,,
76,09/03/21 05:45:00 AM,20.805,64.6,,,
77,09/03/21 06:00:00 AM,20.996,64.6,,,
78,09/03/21 06:15:00 AM,21.091,64.6,,,
79,09/03/21 06:30:00 AM,21.091,64.6,,,
80,09/03/21 06:45:00 AM,21.091,53.8,,,
81,09/03/21 07:00:00 AM,21.282,53.8,,,
82,09/03/21 07:15:00 AM,21.569,64.6,,,
83,09/03/21 07:30:00 AM,21.855,64.6,,,
84,09/03/21 07:45:00 AM,21.855,75.3,,,
85,09/03/21 08:00:00 AM,21.855,75.3,,,
86,09/03/21 08:15:00 AM,22.142,75.3,,,
87,09/03/21 08:30:00 AM,22.525,75.3,,,
88,09/03/21 08:45:00 AM,22.717,75.3,,,
89,09/03/21 09:00:00 AM,22.717,86.1,,,
90,09/03/21 09:15:00 AM,23.196,86.1,,,
91,09/03/21 09:30:00 AM,23.581,86.1,,,
92,09/03/21 09:45:00 AM,23.869,86.1,,,
93,09/03/21 10:00:00 AM,24.255,86.1,,,
94,09/03/21 10:15:00 AM,24.351,86.1,,,
95,09/03/21 10:30:00 AM,24.545,75.3,,,
96,09/03/21 10:45:00 AM,24.738,75.3,,,
97,09/03/21 11:00:00 AM,24.931,64.6,,,
98,09/03/21 11:15:00 AM,25.125,53.8,,,
99,09/03/21 11:30:00 AM,25.416,53.8,,,
100,09/03/21 11:45:00 AM,25.610,43.1,,,
101,09/03/21 12:00:00 PM,25.805,32.3,,,
102,09/03/21 12:15:00 PM,26.195,32.3,,,
103,09/03/21 12:30:00 PM,26.781,21.5,,,
104,09/03/21 12:45:00 PM,26.781,10.8,,,
105,09/03/21 01:00:00 PM,27.173,10.8,,,
106,09/03/21 01:15:00 PM,27.764,10.8,,,
107,09/03/21 01:30:00 PM,27.665,10.8,,,
108,09/03/21 01:45:00 PM,27.468,10.8,,,
109,09/03/21 02:00:00 PM,27.764,10.8,,,
110,09/03/21 02:15:00 PM,29.552,10.8,,,
111,09/03/21 02:30:00 PM,29.652,0.0,,,
112,09/03/21 02:45:00 PM,28.853,0.0,,,
113,09/03/21 03:00:00 PM,28.555,10.8,,,
114,09/03/21 03:15:00 PM,28.555,10.8,,,
115,09/03/21 03:30:00 PM,29.552,10.8,,,
116,09/03/21 03:45:00 PM,29.352,0.0,,,
117,09/03/21 04:00:00 PM,28.754,0.0,,,
118,09/03/21 04:15:00 PM,28.456,0.0,,,
119,09/03/21 04:30:00 PM,28.258,0.0,,,
120,09/03/21 04:45:00 PM,27.862,0.0,,,
121,09/03/21 05:00:00 PM,27.665,0.0,,,
122,09/03/21 05:15:00 PM,27.468,10.8,,,
123,09/03/21 05:30:00 PM,27.567,10.8,,,
124,09/03/21 05:45:00 PM,27.468,0.0,,,
125,09/03/21 06:00:00 PM,27.075,10.8,,,
126,09/03/21 06:15:00 PM,26.585,10.8,,,
127,09/03/21 06:30:00 PM,26.195,10.8,,,
128,09/03/21 06:45:00 PM,25.805,10.8,,,
129,09/03/21 07:00:00 PM,25.416,10.8,,,
130,09/03/21 07:15:00 PM,24.835,10.8,,,
131,09/03/21 07:30:00 PM,24.351,10.8,,,
132,09/03/21 07:45:00 PM,23.869,10.8,,,
133,09/03/21 08:00:00 PM,23.484,10.8,,,
134,09/03/21 08:15:00 PM,23.196,10.8,,,
135,09/03/21 08:30:00 PM,22.908,10.8,,,
136,09/03/21 08:45:00 PM,22.717,21.5,,,
137,09/03/21 09:00:00 PM,22.525,21.5,,,
138,09/03/21 09:15:00 PM,22.333,21.5,,,
139,09/03/21 09:30:00 PM,22.333,21.5,,,
140,09/03/21 09:45:00 PM,22.238,32.3,,,
141,09/03/21 10:00:00 PM,22.046,32.3,,,
142,09/03/21 10:15:00 PM,22.046,32.3,,,
143,09/03/21 10:30:00 PM,21.951,32.3,,,
144,09/03/21 10:45:00 PM,21.855,32.3,,,
145,09/03/21 11:00:00 PM,21.855,32.3,,,
146,09/03/21 11:15:00 PM,21.760,32.3,,,
147,09/03/21 11:30:00 PM,21.855,32.3,,,
148,09/03/21 11:45:00 PM,21.855,43.1,,,
149,09/04/21 12:00:00 AM,21.760,43.1,,,
150,09/04/21 12:15:00 AM,21.760,43.1,,,
151,09/04/21 12:30:00 AM,21.855,43.1,,,
152,09/04/21 12:45:00 AM,21.664,64.6,,,
153,09/04/21 01:00:00 AM,21.282,107.6,,,
154,09/04/21 01:15:00 AM,20.805,4650.0,,,
155,09/04/21 01:30:00 AM,21.187,19289.0,,,
156,09/04/21 01:45:00 AM,21.187,28933.5,,,
157,09/04/21 02:00:00 AM,21.091,24800.2,,,
158,09/04/21 02:15:00 AM,20.996,28933.5,,,
159,09/04/21 02:30:00 AM,20.996,31689.1,,,
160,09/04/21 02:45:00 AM,20.996,34444.7,,,
161,09/04/21 03:00:00 AM,21.091,37200.2,,,
162,09/04/21 03:15:00 AM,21.091,38578.0,,,
163,09/04/21 03:30:00 AM,21.091,41333.6,,,
164,09/04/21 03:45:00 AM,21.091,42711.4,,,
165,09/04/21 04:00:00 AM,21.091,44089.2,,,
166,09/04/21 04:15:00 AM,21.187,44089.2,,,
167,09/04/21 04:30:00 AM,21.187,44089.2,,,
168,09/04/21 04:45:00 AM,21.187,46844.8,,,
169,09/04/21 05:00:00 AM,21.187,46844.8,,,
170,09/04/21 05:15:00 AM,21.187,46844.8,,,
171,09/04/21 05:30:00 AM,21.187,49600.3,,,
172,09/04/21 05:45:00 AM,21.187,49600.3,,,
173,09/04/21 06:00:00 AM,21.187,49600.3,,,
174,09/04/21 06:15:00 AM,21.187,49600.3,,,
175,09/04/21 06:30:00 AM,21.187,49600.3,,,
176,09/04/21 06:45:00 AM,21.187,49600.3,,,
177,09/04/21 07:00:00 AM,21.187,49600.3,,,
178,09/04/21 07:15:00 AM,21.187,49600.3,,,
179,09/04/21 07:30:00 AM,21.091,49600.3,,,
180,09/04/21 07:45:00 AM,21.091,49600.3,,,
181,09/04/21 08:00:00 AM,21.091,49600.3,,,
182,09/04/21 08:15:00 AM,21.091,49600.3,,,
183,09/04/21 08:30:00 AM,21.091,49600.3,,,
184,09/04/21 08:45:00 AM,21.091,49600.3,,,
185,09/04/21 09:00:00 AM,21.091,49600.3,,,
186,09/04/21 09:15:00 AM,21.091,49600.3,,,
187,09/04/21 09:30:00 AM,21.091,49600.3,,,
188,09/04/21 09:45:00 AM,21.091,49600.3,,,
189,09/04/21 10:00:00 AM,21.091,49600.3,,,
190,09/04/21 10:15:00 AM,21.187,49600.3,,,
191,09/04/21 10:30:00 AM,21.187,49600.3,,,
192,09/04/21 10:45:00 AM,21.282,49600.3,,,
193,09/04/21 11:00:00 AM,21.282,49600.3,,,
194,09/04/21 11:15:00 AM,21.473,49600.3,,,
195,09/04/21 11:30:00 AM,21.473,52355.9,,,
196,09/04/21 11:45:00 AM,21.760,52355.9,,,
197,09/04/21 12:00:00 PM,22.238,52355.9,,,
198,09/04/21 12:15:00 PM,22.142,52355.9,,,
199,09/04/21 12:30:00 PM,21.951,861.1,,,
200,09/04/21 12:45:00 PM,21.760,86.1,,,
201,09/04/21 01:00:00 PM,21.760,75.3,,,
202,09/04/21 01:15:00 PM,22.238,75.3,,,
203,09/04/21 01:30:00 PM,22.238,64.6,,,
204,09/04/21 01:45:00 PM,22.717,64.6,,,
205,09/04/21 02:00:00 PM,23.484,64.6,,,
206,09/04/21 02:15:00 PM,24.062,64.6,,,
207,09/04/21 02:30:00 PM,24.158,64.6,,,
208,09/04/21 02:45:00 PM,24.255,53.8,,,
209,09/04/21 03:00:00 PM,24.448,53.8,,,
210,09/04/21 03:15:00 PM,24.448,53.8,,,
211,09/04/21 03:30:00 PM,25.416,53.8,,,
212,09/04/21 03:45:00 PM,24.931,43.1,,,
213,09/04/21 04:00:00 PM,24.931,43.1,,,
214,09/04/21 04:15:00 PM,24.545,43.1,,,
215,09/04/21 04:30:00 PM,24.351,43.1,,,
216,09/04/21 04:45:00 PM,24.448,32.3,,,
217,09/04/21 05:00:00 PM,24.351,21.5,,,
218,09/04/21 05:15:00 PM,24.351,21.5,,,
219,09/04/21 05:30:00 PM,24.448,21.5,,,
220,09/04/21 05:45:00 PM,24.351,21.5,,,
221,09/04/21 06:00:00 PM,23.966,10.8,,,
222,09/04/21 06:15:00 PM,23.677,21.5,,,
223,09/04/21 06:30:00 PM,23.388,21.5,,,
224,09/04/21 06:45:00 PM,23.004,21.5,,,
225,09/04/21 07:00:00 PM,22.621,21.5,,,
226,09/04/21 07:15:00 PM,22.238,21.5,,,
227,09/04/21 07:30:00 PM,21.760,21.5,,,
228,09/04/21 07:45:00 PM,21.282,21.5,,,
229,09/04/21 08:00:00 PM,20.901,21.5,,,
230,09/04/21 08:15:00 PM,20.424,21.5,,,
231,09/04/21 08:30:00 PM,19.948,32.3,,,
232,09/04/21 08:45:00 PM,19.662,32.3,,,
233,09/04/21 09:00:00 PM,19.377,43.1,,,
234,09/04/21 09:15:00 PM,19.092,43.1,,,
235,09/04/21 09:30:00 PM,18.806,53.8,,,
236,09/04/21 09:45:00 PM,18.521,53.8,,,
237,09/04/21 10:00:00 PM,18.331,53.8,,,
238,09/04/21 10:15:00 PM,18.140,53.8,,,
239,09/04/21 10:30:00 PM,17.950,64.6,,,
240,09/04/21 10:45:00 PM,17.760,64.6,,,
241,09/04/21 11:00:00 PM,17.570,64.6,,,
242,09/04/21 11:15:00 PM,17.379,64.6,,,
243,09/04/21 11:30:00 PM,17.189,64.6,,,
244,09/04/21 11:45:00 PM,16.999,64.6,,,
245,09/05/21 12:00:00 AM,16.808,64.6,,,
246,09/05/21 12:15:00 AM,16.713,64.6,,,
247,09/05/21 12:30:00 AM,16.523,64.6,,,
248,09/05/21 12:45:00 AM,16.332,75.3,,,
249,09/05/21 01:00:00 AM,16.237,75.3,,,
250,09/05/21 01:15:00 AM,16.141,75.3,,,
251,09/05/21 01:30:00 AM,16.046,75.3,,,
252,09/05/21 01:45:00 AM,15.855,75.3,,,
253,09/05/21 02:00:00 AM,15.760,75.3,,,
254,09/05/21 02:15:00 AM,15.664,75.3,,,
255,09/05/21 02:30:00 AM,15.569,75.3,,,
256,09/05/21 02:45:00 AM,15.378,75.3,,,
257,09/05/21 03:00:00 AM,15.187,75.3,,,
258,09/05/21 03:15:00 AM,15.091,86.1,,,
259,09/05/21 03:30:00 AM,14.996,86.1,,,
260,09/05/21 03:45:00 AM,14.900,96.9,,,
261,09/05/21 04:00:00 AM,14.804,107.6,,,
262,09/05/21 04:15:00 AM,14.613,107.6,,,
263,09/05/21 04:30:00 AM,14.517,107.6,,,
264,09/05/21 04:45:00 AM,14.517,107.6,,,
265,09/05/21 05:00:00 AM,14.421,107.6,,,
266,09/05/21 05:15:00 AM,14.325,107.6,,,
267,09/05/21 05:30:00 AM,14.230,107.6,,,
268,09/05/21 05:45:00 AM,14.230,118.4,,,
269,09/05/21 06:00:00 AM,14.134,107.6,,,
270,09/05/21 06:15:00 AM,14.134,107.6,,,
271,09/05/21 06:30:00 AM,14.134,107.6,,,
272,09/05/21 06:45:00 AM,14.038,118.4,,,
273,09/05/21 07:00:00 AM,14.038,118.4,,,
274,09/05/21 07:15:00 AM,14.038,118.4,,,
275,09/05/21 07:30:00 AM,14.134,118.4,,,
276,09/05/21 07:45:00 AM,14.230,118.4,,,
277,09/05/21 08:00:00 AM,14.613,118.4,,,
278,09/05/21 08:15:00 AM,15.187,118.4,,,
279,09/05/21 08:30:00 AM,15.569,129.2,,,
280,09/05/21 08:45:00 AM,15.951,129.2,,,
281,09/05/21 09:00:00 AM,16.332,129.2,,,
282,09/05/21 09:15:00 AM,16.999,139.9,,,
283,09/05/21 09:30:00 AM,17.475,139.9,,,
284,09/05/21 09:45:00 AM,17.950,139.9,,,
285,09/05/21 10:00:00 AM,18.426,139.9,,,
286,09/05/21 10:15:00 AM,18.901,139.9,,,
287,09/05/21 10:30:00 AM,19.472,129.2,,,
288,09/05/21 10:45:00 AM,20.043,139.9,,,
289,09/05/21 11:00:00 AM,20.519,139.9,,,
290,09/05/21 11:15:00 AM,21.091,139.9,,,
291,09/05/21 11:30:00 AM,21.760,129.2,,,
292,09/05/21 11:45:00 AM,21.664,129.2,,,
293,09/05/21 12:00:00 PM,21.664,129.2,,,
294,09/05/21 12:15:00 PM,21.855,118.4,,,
295,09/05/21 12:30:00 PM,22.142,118.4,,,
296,09/05/21 12:45:00 PM,22.908,118.4,,,
297,09/05/21 01:00:00 PM,23.677,118.4,,,
298,09/05/21 01:15:00 PM,24.062,107.6,,,
299,09/05/21 01:30:00 PM,24.545,107.6,,,
300,09/05/21 01:45:00 PM,24.738,96.9,,,
301,09/05/21 02:00:00 PM,26.879,96.9,,,
302,09/05/21 02:15:00 PM,27.961,96.9,,,
303,09/05/21 02:30:00 PM,27.370,86.1,,,
304,09/05/21 02:45:00 PM,26.390,86.1,,,
305,09/05/21 03:00:00 PM,26.097,86.1,,,
306,09/05/21 03:15:00 PM,26.097,86.1,,,
307,09/05/21 03:30:00 PM,27.764,86.1,,,
308,09/05/21 03:45:00 PM,27.272,86.1,,,
309,09/05/21 04:00:00 PM,26.585,86.1,,,
310,09/05/21 04:15:00 PM,26.292,86.1,,,
311,09/05/21 04:30:00 PM,26.097,86.1,,,
312,09/05/21 04:45:00 PM,25.805,86.1,,,
313,09/05/21 05:00:00 PM,25.610,64.6,,,
314,09/05/21 05:15:00 PM,25.319,64.6,,,
315,09/05/21 05:30:00 PM,25.028,64.6,,,
316,09/05/21 05:45:00 PM,24.738,43.1,,,
317,09/05/21 06:00:00 PM,24.351,43.1,,,
318,09/05/21 06:15:00 PM,23.966,32.3,,,
319,09/05/21 06:30:00 PM,23.581,32.3,,,
