"Plot Title: 20946484"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20946484, SEN S/N: 20946484)","Intensity, Lux (LGR S/N: 20946484, SEN S/N: 20946484)","End Of File (LGR S/N: 20946484)"
1,09/02/21 10:30:00 AM,28.060,43.1,
2,09/02/21 10:45:00 AM,27.272,32.3,
3,09/02/21 11:00:00 AM,26.390,32.3,
4,09/02/21 11:15:00 AM,26.097,32.3,
5,09/02/21 11:30:00 AM,25.805,32.3,
6,09/02/21 11:45:00 AM,25.610,32.3,
7,09/02/21 12:00:00 PM,25.513,32.3,
8,09/02/21 12:15:00 PM,25.513,32.3,
9,09/02/21 12:30:00 PM,25.805,32.3,
10,09/02/21 12:45:00 PM,26.000,32.3,
11,09/02/21 01:00:00 PM,26.097,32.3,
12,09/02/21 01:15:00 PM,26.195,32.3,
13,09/02/21 01:30:00 PM,26.488,32.3,
14,09/02/21 01:45:00 PM,26.683,32.3,
15,09/02/21 02:00:00 PM,27.075,21.5,
16,09/02/21 02:15:00 PM,29.752,21.5,
17,09/02/21 02:30:00 PM,32.086,0.0,
18,09/02/21 02:45:00 PM,30.356,0.0,
19,09/02/21 03:00:00 PM,28.555,10.8,
20,09/02/21 03:15:00 PM,27.468,10.8,
21,09/02/21 03:30:00 PM,26.781,21.5,
22,09/02/21 03:45:00 PM,26.390,21.5,
23,09/02/21 04:00:00 PM,26.097,21.5,
24,09/02/21 04:15:00 PM,26.097,21.5,
25,09/02/21 04:30:00 PM,26.390,21.5,
26,09/02/21 04:45:00 PM,27.075,21.5,
27,09/02/21 05:00:00 PM,27.665,21.5,
28,09/02/21 05:15:00 PM,27.665,21.5,
29,09/02/21 05:30:00 PM,27.075,21.5,
30,09/02/21 05:45:00 PM,26.781,21.5,
31,09/02/21 06:00:00 PM,26.488,21.5,
32,09/02/21 06:15:00 PM,26.195,21.5,
33,09/02/21 06:30:00 PM,25.902,21.5,
34,09/02/21 06:45:00 PM,25.708,21.5,
35,09/02/21 07:00:00 PM,25.513,21.5,
36,09/02/21 07:15:00 PM,25.222,32.3,
37,09/02/21 07:30:00 PM,24.738,43.1,
38,09/02/21 07:45:00 PM,24.545,43.1,
39,09/02/21 08:00:00 PM,24.351,43.1,
40,09/02/21 08:15:00 PM,24.255,43.1,
41,09/02/21 08:30:00 PM,24.158,43.1,
42,09/02/21 08:45:00 PM,24.062,43.1,
43,09/02/21 09:00:00 PM,23.966,43.1,
44,09/02/21 09:15:00 PM,23.677,43.1,
45,09/02/21 09:30:00 PM,23.292,32.3,
46,09/02/21 09:45:00 PM,23.292,32.3,
47,09/02/21 10:00:00 PM,23.196,43.1,
48,09/02/21 10:15:00 PM,23.292,43.1,
49,09/02/21 10:30:00 PM,23.388,53.8,
50,09/02/21 10:45:00 PM,23.292,204.5,
51,09/02/21 11:00:00 PM,23.292,193.8,
52,09/02/21 11:15:00 PM,23.292,183.0,
53,09/02/21 11:30:00 PM,23.196,183.0,
54,09/02/21 11:45:00 PM,23.196,161.5,
55,09/03/21 12:00:00 AM,23.196,161.5,
56,09/03/21 12:15:00 AM,23.292,150.7,
57,09/03/21 12:30:00 AM,23.292,150.7,
58,09/03/21 12:45:00 AM,23.196,139.9,
59,09/03/21 01:00:00 AM,23.196,139.9,
60,09/03/21 01:15:00 AM,23.196,139.9,
61,09/03/21 01:30:00 AM,23.100,129.2,
62,09/03/21 01:45:00 AM,22.908,129.2,
63,09/03/21 02:00:00 AM,23.004,129.2,
64,09/03/21 02:15:00 AM,22.908,129.2,
65,09/03/21 02:30:00 AM,22.908,139.9,
66,09/03/21 02:45:00 AM,22.812,150.7,
67,09/03/21 03:00:00 AM,22.812,150.7,
68,09/03/21 03:15:00 AM,22.908,172.2,
69,09/03/21 03:30:00 AM,23.004,183.0,
70,09/03/21 03:45:00 AM,23.004,27555.7,
71,09/03/21 04:00:00 AM,23.004,22044.6,
72,09/03/21 04:15:00 AM,23.100,23422.4,
73,09/03/21 04:30:00 AM,22.717,22044.6,
74,09/03/21 04:45:00 AM,22.525,22044.6,
75,09/03/21 05:00:00 AM,22.333,26178.0,
76,09/03/21 05:15:00 AM,22.333,30311.3,
77,09/03/21 05:30:00 AM,22.333,34444.7,
78,09/03/21 05:45:00 AM,22.238,37200.2,
79,09/03/21 06:00:00 AM,22.238,38578.0,
80,09/03/21 06:15:00 AM,22.238,38578.0,
81,09/03/21 06:30:00 AM,22.142,41333.6,
82,09/03/21 06:45:00 AM,22.142,41333.6,
83,09/03/21 07:00:00 AM,22.142,41333.6,
84,09/03/21 07:15:00 AM,22.142,42711.4,
85,09/03/21 07:30:00 AM,22.142,42711.4,
86,09/03/21 07:45:00 AM,22.142,34444.7,
87,09/03/21 08:00:00 AM,22.142,34444.7,
88,09/03/21 08:15:00 AM,22.238,34444.7,
89,09/03/21 08:30:00 AM,22.333,35822.5,
90,09/03/21 08:45:00 AM,22.429,35822.5,
91,09/03/21 09:00:00 AM,22.525,37200.2,
92,09/03/21 09:15:00 AM,22.717,37200.2,
93,09/03/21 09:30:00 AM,22.812,37200.2,
94,09/03/21 09:45:00 AM,23.004,37200.2,
95,09/03/21 10:00:00 AM,23.292,38578.0,
96,09/03/21 10:15:00 AM,23.388,38578.0,
97,09/03/21 10:30:00 AM,23.581,38578.0,
98,09/03/21 10:45:00 AM,23.677,38578.0,
99,09/03/21 11:00:00 AM,23.773,38578.0,
100,09/03/21 11:15:00 AM,23.773,38578.0,
101,09/03/21 11:30:00 AM,23.869,38578.0,
102,09/03/21 11:45:00 AM,23.966,38578.0,
103,09/03/21 12:00:00 PM,24.062,39955.8,
104,09/03/21 12:15:00 PM,24.158,39955.8,
105,09/03/21 12:30:00 PM,24.351,39955.8,
106,09/03/21 12:45:00 PM,24.448,39955.8,
107,09/03/21 01:00:00 PM,24.641,39955.8,
108,09/03/21 01:15:00 PM,24.835,39955.8,
109,09/03/21 01:30:00 PM,24.931,39955.8,
110,09/03/21 01:45:00 PM,24.931,41333.6,
111,09/03/21 02:00:00 PM,25.125,41333.6,
112,09/03/21 02:15:00 PM,26.292,41333.6,
113,09/03/21 02:30:00 PM,27.665,41333.6,
114,09/03/21 02:45:00 PM,28.456,42711.4,
115,09/03/21 03:00:00 PM,28.853,42711.4,
116,09/03/21 03:15:00 PM,28.555,42711.4,
117,09/03/21 03:30:00 PM,28.060,42711.4,
118,09/03/21 03:45:00 PM,27.468,42711.4,
119,09/03/21 04:00:00 PM,26.879,42711.4,
120,09/03/21 04:15:00 PM,26.781,42711.4,
121,09/03/21 04:30:00 PM,26.585,42711.4,
122,09/03/21 04:45:00 PM,26.390,42711.4,
123,09/03/21 05:00:00 PM,26.390,42711.4,
124,09/03/21 05:15:00 PM,26.195,42711.4,
125,09/03/21 05:30:00 PM,26.195,42711.4,
126,09/03/21 05:45:00 PM,26.195,42711.4,
127,09/03/21 06:00:00 PM,26.000,42711.4,
128,09/03/21 06:15:00 PM,25.805,42711.4,
129,09/03/21 06:30:00 PM,25.708,42711.4,
130,09/03/21 06:45:00 PM,25.610,42711.4,
131,09/03/21 07:00:00 PM,25.416,42711.4,
132,09/03/21 07:15:00 PM,25.222,42711.4,
133,09/03/21 07:30:00 PM,24.931,42711.4,
134,09/03/21 07:45:00 PM,24.738,41333.6,
135,09/03/21 08:00:00 PM,24.448,41333.6,
136,09/03/21 08:15:00 PM,24.255,41333.6,
137,09/03/21 08:30:00 PM,24.062,41333.6,
138,09/03/21 08:45:00 PM,23.966,41333.6,
139,09/03/21 09:00:00 PM,23.773,41333.6,
140,09/03/21 09:15:00 PM,23.677,41333.6,
141,09/03/21 09:30:00 PM,23.581,41333.6,
