"Plot Title: 20946492"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20946492, SEN S/N: 20946492)","Intensity, Lux (LGR S/N: 20946492, SEN S/N: 20946492)","Coupler Attached (LGR S/N: 20946492)","Host Connected (LGR S/N: 20946492)","Stopped (LGR S/N: 20946492)","End Of File (LGR S/N: 20946492)"
1,09/27/21 11:30:00 AM,28.853,21.5,,,,
2,09/27/21 11:45:00 AM,25.222,86.1,,,,
3,09/27/21 12:00:00 PM,23.869,64.6,,,,
4,09/27/21 12:15:00 PM,24.448,43.1,,,,
5,09/27/21 12:30:00 PM,26.097,32.3,,,,
6,09/27/21 12:45:00 PM,27.370,21.5,,,,
7,09/27/21 01:00:00 PM,29.953,10.8,,,,
8,09/27/21 01:15:00 PM,33.430,0.0,,,,
9,09/27/21 01:30:00 PM,35.115,0.0,,,,
10,09/27/21 01:45:00 PM,34.903,0.0,,,,
11,09/27/21 02:00:00 PM,33.535,0.0,,,,
12,09/27/21 02:15:00 PM,31.880,0.0,,,,
13,09/27/21 02:30:00 PM,32.704,0.0,,,,
14,09/27/21 02:45:00 PM,32.291,0.0,,,,
15,09/27/21 03:00:00 PM,30.760,0.0,,,,
16,09/27/21 03:15:00 PM,30.154,0.0,,,,
17,09/27/21 03:30:00 PM,30.255,0.0,,,,
18,09/27/21 03:45:00 PM,30.457,0.0,,,,
19,09/27/21 04:00:00 PM,30.255,0.0,,,,
20,09/27/21 04:15:00 PM,29.752,0.0,,,,
21,09/27/21 04:30:00 PM,29.352,0.0,,,,
22,09/27/21 04:45:00 PM,29.053,0.0,,,,
23,09/27/21 05:00:00 PM,28.754,0.0,,,,
24,09/27/21 05:15:00 PM,28.555,0.0,,,,
25,09/27/21 05:30:00 PM,28.159,0.0,,,,
26,09/27/21 05:45:00 PM,27.665,0.0,,,,
27,09/27/21 06:00:00 PM,27.075,0.0,,,,
28,09/27/21 06:15:00 PM,26.000,0.0,,,,
29,09/27/21 06:30:00 PM,24.738,10.8,,,,
30,09/27/21 06:45:00 PM,23.484,10.8,,,,
31,09/27/21 07:00:00 PM,22.525,21.5,,,,
32,09/27/21 07:15:00 PM,21.664,21.5,,,,
33,09/27/21 07:30:00 PM,20.901,21.5,,,,
34,09/27/21 07:45:00 PM,20.329,32.3,,,,
35,09/27/21 08:00:00 PM,20.043,32.3,,,,
36,09/27/21 08:15:00 PM,19.853,32.3,,,,
37,09/27/21 08:30:00 PM,20.043,32.3,,,,
38,09/27/21 08:45:00 PM,20.234,32.3,,,,
39,09/27/21 09:00:00 PM,20.329,21.5,,,,
40,09/27/21 09:15:00 PM,20.329,21.5,,,,
41,09/27/21 09:30:00 PM,20.519,21.5,,,,
42,09/27/21 09:45:00 PM,20.615,21.5,,,,
43,09/27/21 10:00:00 PM,20.615,10.8,,,,
44,09/27/21 10:15:00 PM,20.519,10.8,,,,
45,09/27/21 10:30:00 PM,20.424,10.8,,,,
46,09/27/21 10:45:00 PM,20.234,10.8,,,,
47,09/27/21 11:00:00 PM,20.138,10.8,,,,
48,09/27/21 11:15:00 PM,20.043,21.5,,,,
49,09/27/21 11:30:00 PM,19.948,10.8,,,,
50,09/27/21 11:45:00 PM,19.948,10.8,,,,
51,09/28/21 12:00:00 AM,19.948,10.8,,,,
52,09/28/21 12:15:00 AM,20.043,10.8,,,,
53,09/28/21 12:30:00 AM,20.138,10.8,,,,
54,09/28/21 12:45:00 AM,20.329,10.8,,,,
55,09/28/21 01:00:00 AM,20.424,10.8,,,,
56,09/28/21 01:15:00 AM,20.424,10.8,,,,
57,09/28/21 01:30:00 AM,20.329,10.8,,,,
58,09/28/21 01:45:00 AM,20.138,10.8,,,,
59,09/28/21 02:00:00 AM,20.043,10.8,,,,
60,09/28/21 02:15:00 AM,19.948,10.8,,,,
61,09/28/21 02:30:00 AM,19.758,10.8,,,,
62,09/28/21 02:45:00 AM,19.472,10.8,,,,
63,09/28/21 03:00:00 AM,19.282,10.8,,,,
64,09/28/21 03:15:00 AM,19.092,10.8,,,,
65,09/28/21 03:30:00 AM,18.996,10.8,,,,
66,09/28/21 03:45:00 AM,18.901,10.8,,,,
67,09/28/21 04:00:00 AM,18.711,10.8,,,,
68,09/28/21 04:15:00 AM,18.616,10.8,,,,
69,09/28/21 04:30:00 AM,18.521,10.8,,,,
70,09/28/21 04:45:00 AM,18.426,10.8,,,,
71,09/28/21 05:00:00 AM,18.331,10.8,,,,
72,09/28/21 05:15:00 AM,18.140,10.8,,,,
73,09/28/21 05:30:00 AM,18.045,21.5,,,,
74,09/28/21 05:45:00 AM,17.950,10.8,,,,
75,09/28/21 06:00:00 AM,17.950,10.8,,,,
76,09/28/21 06:15:00 AM,17.855,21.5,,,,
77,09/28/21 06:30:00 AM,17.855,21.5,,,,
78,09/28/21 06:45:00 AM,17.855,21.5,,,,
79,09/28/21 07:00:00 AM,17.855,21.5,,,,
80,09/28/21 07:15:00 AM,17.665,21.5,,,,
81,09/28/21 07:30:00 AM,17.665,21.5,,,,
82,09/28/21 07:45:00 AM,17.570,21.5,,,,
83,09/28/21 08:00:00 AM,17.665,21.5,,,,
84,09/28/21 08:15:00 AM,17.950,21.5,,,,
85,09/28/21 08:30:00 AM,18.426,21.5,,,,
86,09/28/21 08:45:00 AM,18.996,21.5,,,,
87,09/28/21 09:00:00 AM,19.377,10.8,,,,
88,09/28/21 09:15:00 AM,19.948,10.8,,,,
89,09/28/21 09:30:00 AM,20.519,10.8,,,,
90,09/28/21 09:45:00 AM,21.091,10.8,,,,
91,09/28/21 10:00:00 AM,21.664,10.8,,,,
