"Plot Title: 21044163"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 21044163, SEN S/N: 21044163)","Intensity, Lux (LGR S/N: 21044163, SEN S/N: 21044163)","Coupler Attached (LGR S/N: 21044163)","Coupler Detached (LGR S/N: 21044163)","Host Connected (LGR S/N: 21044163)","Stopped (LGR S/N: 21044163)","End Of File (LGR S/N: 21044163)"
1,09/02/21 10:15:00 AM,27.272,0.0,,,,,
2,09/02/21 10:30:00 AM,26.585,0.0,,,,,
3,09/02/21 10:45:00 AM,26.390,0.0,,,,,
4,09/02/21 11:00:00 AM,26.488,0.0,,,,,
5,09/02/21 11:15:00 AM,26.683,0.0,,,,,
6,09/02/21 11:30:00 AM,26.488,0.0,,,,,
7,09/02/21 11:45:00 AM,26.292,0.0,,,,,
8,09/02/21 12:00:00 PM,26.292,0.0,,,,,
9,09/02/21 12:15:00 PM,26.292,0.0,,,,,
10,09/02/21 12:30:00 PM,26.585,0.0,,,,,
11,09/02/21 12:45:00 PM,26.879,0.0,,,,,
12,09/02/21 01:00:00 PM,27.075,0.0,,,,,
13,09/02/21 01:15:00 PM,27.173,0.0,,,,,
14,09/02/21 01:30:00 PM,27.468,0.0,,,,,
15,09/02/21 01:45:00 PM,27.764,0.0,,,,,
16,09/02/21 02:00:00 PM,28.159,0.0,,,,,
17,09/02/21 02:15:00 PM,29.853,0.0,,,,,
18,09/02/21 02:30:00 PM,30.659,0.0,,,,,
19,09/02/21 02:45:00 PM,29.452,0.0,,,,,
20,09/02/21 03:00:00 PM,28.258,0.0,,,,,
21,09/02/21 03:15:00 PM,27.370,0.0,,,,,
22,09/02/21 03:30:00 PM,26.781,0.0,,,,,
23,09/02/21 03:45:00 PM,26.488,0.0,,,,,
24,09/02/21 04:00:00 PM,26.390,0.0,,,,,
25,09/02/21 04:15:00 PM,26.488,0.0,,,,,
26,09/02/21 04:30:00 PM,26.879,0.0,,,,,
27,09/02/21 04:45:00 PM,27.862,0.0,,,,,
28,09/02/21 05:00:00 PM,28.555,0.0,,,,,
29,09/02/21 05:15:00 PM,28.456,0.0,,,,,
30,09/02/21 05:30:00 PM,27.567,0.0,,,,,
31,09/02/21 05:45:00 PM,27.272,0.0,,,,,
32,09/02/21 06:00:00 PM,26.879,0.0,,,,,
33,09/02/21 06:15:00 PM,26.488,0.0,,,,,
34,09/02/21 06:30:00 PM,26.195,0.0,,,,,
35,09/02/21 06:45:00 PM,26.000,0.0,,,,,
36,09/02/21 07:00:00 PM,25.708,10.8,,,,,
37,09/02/21 07:15:00 PM,25.222,32.3,,,,,
38,09/02/21 07:30:00 PM,24.738,312.2,,,,,
39,09/02/21 07:45:00 PM,24.448,312.2,,,,,
40,09/02/21 08:00:00 PM,24.255,301.4,,,,,
41,09/02/21 08:15:00 PM,24.158,344.4,,,,,
42,09/02/21 08:30:00 PM,24.062,344.4,,,,,
43,09/02/21 08:45:00 PM,24.062,355.2,,,,,
44,09/02/21 09:00:00 PM,23.869,688.9,,,,,
45,09/02/21 09:15:00 PM,23.484,656.6,,,,,
46,09/02/21 09:30:00 PM,23.100,635.1,,,,,
47,09/02/21 09:45:00 PM,23.196,1162.5,,,,,
48,09/02/21 10:00:00 PM,23.004,1302.4,,,,,
49,09/02/21 10:15:00 PM,23.100,355.2,,,,,
50,09/02/21 10:30:00 PM,23.196,592.0,,,,,
51,09/02/21 10:45:00 PM,23.100,387.5,,,,,
52,09/02/21 11:00:00 PM,23.196,322.9,,,,,
53,09/02/21 11:15:00 PM,23.100,269.1,,,,,
54,09/02/21 11:30:00 PM,23.100,247.6,,,,,
55,09/02/21 11:45:00 PM,23.004,226.0,,,,,
56,09/03/21 12:00:00 AM,23.100,215.3,,,,,
57,09/03/21 12:15:00 AM,23.196,204.5,,,,,
58,09/03/21 12:30:00 AM,23.196,204.5,,,,,
59,09/03/21 12:45:00 AM,23.100,204.5,,,,,
60,09/03/21 01:00:00 AM,23.100,193.8,,,,,
61,09/03/21 01:15:00 AM,23.004,193.8,,,,,
62,09/03/21 01:30:00 AM,22.908,183.0,,,,,
63,09/03/21 01:45:00 AM,22.812,172.2,,,,,
