"Plot Title: 21044167"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 21044167, SEN S/N: 21044167)","Intensity, Lux (LGR S/N: 21044167, SEN S/N: 21044167)","Bad Battery (LGR S/N: 21044167)","Good Battery (LGR S/N: 21044167)","End Of File (LGR S/N: 21044167)"
1,09/15/21 03:15:00 PM,34.691,0.0,,,
2,09/15/21 03:30:00 PM,34.479,0.0,,,
3,09/15/21 03:45:00 PM,33.535,0.0,,,
4,09/15/21 04:00:00 PM,31.676,0.0,,,
5,09/15/21 04:15:00 PM,30.154,21.5,,,
6,09/15/21 04:30:00 PM,28.953,53.8,,,
7,09/15/21 04:45:00 PM,27.862,75.3,,,
8,09/15/21 05:00:00 PM,27.173,64.6,,,
9,09/15/21 05:15:00 PM,26.781,86.1,,,
10,09/15/21 05:30:00 PM,26.390,75.3,,,
11,09/15/21 05:45:00 PM,25.902,86.1,,,
12,09/15/21 06:00:00 PM,25.513,86.1,,,
13,09/15/21 06:15:00 PM,25.222,107.6,,,
14,09/15/21 06:30:00 PM,24.835,96.9,,,
15,09/15/21 06:45:00 PM,24.448,107.6,,,
16,09/15/21 07:00:00 PM,23.966,129.2,,,
17,09/15/21 07:15:00 PM,23.388,150.7,,,
18,09/15/21 07:30:00 PM,22.812,150.7,,,
19,09/15/21 07:45:00 PM,22.142,204.5,,,
20,09/15/21 08:00:00 PM,21.569,193.8,,,
21,09/15/21 08:15:00 PM,21.091,183.0,,,
22,09/15/21 08:30:00 PM,20.615,172.2,,,
23,09/15/21 08:45:00 PM,20.329,215.3,,,
24,09/15/21 09:00:00 PM,20.138,236.8,,,
25,09/15/21 09:15:00 PM,20.043,269.1,,,
26,09/15/21 09:30:00 PM,19.948,279.9,,,
27,09/15/21 09:45:00 PM,19.948,290.6,,,
28,09/15/21 10:00:00 PM,19.853,301.4,,,
29,09/15/21 10:15:00 PM,19.758,301.4,,,
30,09/15/21 10:30:00 PM,19.567,301.4,,,
31,09/15/21 10:45:00 PM,19.472,290.6,,,
32,09/15/21 11:00:00 PM,19.377,279.9,,,
33,09/15/21 11:15:00 PM,19.377,290.6,,,
34,09/15/21 11:30:00 PM,19.377,290.6,,,
35,09/15/21 11:45:00 PM,19.282,290.6,,,
36,09/16/21 12:00:00 AM,19.187,290.6,,,
37,09/16/21 12:15:00 AM,19.187,279.9,,,
38,09/16/21 12:30:00 AM,19.092,258.3,,,
39,09/16/21 12:45:00 AM,19.092,258.3,,,
40,09/16/21 01:00:00 AM,19.092,269.1,,,
41,09/16/21 01:15:00 AM,19.092,258.3,,,
42,09/16/21 01:30:00 AM,18.996,269.1,,,
43,09/16/21 01:45:00 AM,18.996,279.9,,,
44,09/16/21 02:00:00 AM,18.901,269.1,,,
45,09/16/21 02:15:00 AM,18.806,290.6,,,
46,09/16/21 02:30:00 AM,18.806,301.4,,,
47,09/16/21 02:45:00 AM,18.711,301.4,,,
