"Plot Title: 21064676"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 21064676, SEN S/N: 21064676)","Intensity, Lux (LGR S/N: 21064676, SEN S/N: 21064676)","Coupler Attached (LGR S/N: 21064676)","Host Connected (LGR S/N: 21064676)","Stopped (LGR S/N: 21064676)","End Of File (LGR S/N: 21064676)"
1,09/27/21 10:45:00 AM,30.154,0.0,,,,
2,09/27/21 11:00:00 AM,31.166,0.0,,,,
3,09/27/21 11:15:00 AM,30.558,0.0,,,,
4,09/27/21 11:30:00 AM,31.064,0.0,,,,
5,09/27/21 11:45:00 AM,31.268,0.0,,,,
6,09/27/21 12:00:00 PM,32.394,0.0,,,,
7,09/27/21 12:15:00 PM,32.600,0.0,,,,
8,09/27/21 12:30:00 PM,32.807,0.0,,,,
9,09/27/21 12:45:00 PM,33.953,0.0,,,,
10,09/27/21 01:00:00 PM,33.326,0.0,,,,
11,09/27/21 01:15:00 PM,33.014,0.0,,,,
12,09/27/21 01:30:00 PM,32.911,0.0,,,,
13,09/27/21 01:45:00 PM,34.479,0.0,,,,
14,09/27/21 02:00:00 PM,35.542,0.0,,,,
15,09/27/21 02:15:00 PM,36.946,0.0,,,,
16,09/27/21 02:30:00 PM,36.403,0.0,,,,
17,09/27/21 02:45:00 PM,35.864,0.0,,,,
18,09/27/21 03:00:00 PM,36.079,0.0,,,,
19,09/27/21 03:15:00 PM,36.511,0.0,,,,
20,09/27/21 03:30:00 PM,35.971,0.0,,,,
21,09/27/21 03:45:00 PM,35.756,0.0,,,,
22,09/27/21 04:00:00 PM,36.079,0.0,,,,
23,09/27/21 04:15:00 PM,36.295,0.0,,,,
24,09/27/21 04:30:00 PM,35.328,0.0,,,,
25,09/27/21 04:45:00 PM,34.058,0.0,,,,
26,09/27/21 05:00:00 PM,33.118,0.0,,,,
27,09/27/21 05:15:00 PM,32.394,0.0,,,,
28,09/27/21 05:30:00 PM,31.778,0.0,,,,
29,09/27/21 05:45:00 PM,31.064,0.0,,,,
30,09/27/21 06:00:00 PM,30.457,0.0,,,,
31,09/27/21 06:15:00 PM,29.853,0.0,,,,
32,09/27/21 06:30:00 PM,28.754,0.0,,,,
33,09/27/21 06:45:00 PM,27.272,0.0,,,,
34,09/27/21 07:00:00 PM,25.902,0.0,,,,
35,09/27/21 07:15:00 PM,24.641,0.0,,,,
36,09/27/21 07:30:00 PM,23.677,0.0,,,,
37,09/27/21 07:45:00 PM,22.908,0.0,,,,
38,09/27/21 08:00:00 PM,22.333,0.0,,,,
39,09/27/21 08:15:00 PM,21.855,0.0,,,,
40,09/27/21 08:30:00 PM,21.473,0.0,,,,
41,09/27/21 08:45:00 PM,21.187,0.0,,,,
42,09/27/21 09:00:00 PM,20.901,0.0,,,,
43,09/27/21 09:15:00 PM,20.805,0.0,,,,
44,09/27/21 09:30:00 PM,20.805,0.0,,,,
45,09/27/21 09:45:00 PM,20.901,0.0,,,,
46,09/27/21 10:00:00 PM,21.091,0.0,,,,
47,09/27/21 10:15:00 PM,21.282,0.0,,,,
48,09/27/21 10:30:00 PM,21.282,0.0,,,,
49,09/27/21 10:45:00 PM,21.187,0.0,,,,
50,09/27/21 11:00:00 PM,21.187,0.0,,,,
51,09/27/21 11:15:00 PM,21.187,0.0,,,,
52,09/27/21 11:30:00 PM,21.187,0.0,,,,
53,09/27/21 11:45:00 PM,21.091,0.0,,,,
54,09/28/21 12:00:00 AM,20.996,0.0,,,,
55,09/28/21 12:15:00 AM,20.996,0.0,,,,
56,09/28/21 12:30:00 AM,21.091,0.0,,,,
57,09/28/21 12:45:00 AM,21.282,0.0,,,,
58,09/28/21 01:00:00 AM,21.378,0.0,,,,
59,09/28/21 01:15:00 AM,21.569,0.0,,,,
60,09/28/21 01:30:00 AM,21.760,0.0,,,,
61,09/28/21 01:45:00 AM,21.760,0.0,,,,
62,09/28/21 02:00:00 AM,21.664,0.0,,,,
63,09/28/21 02:15:00 AM,21.569,0.0,,,,
64,09/28/21 02:30:00 AM,21.473,0.0,,,,
65,09/28/21 02:45:00 AM,21.282,0.0,,,,
66,09/28/21 03:00:00 AM,21.187,0.0,,,,
67,09/28/21 03:15:00 AM,20.996,0.0,,,,
68,09/28/21 03:30:00 AM,20.901,0.0,,,,
69,09/28/21 03:45:00 AM,20.805,0.0,,,,
70,09/28/21 04:00:00 AM,20.615,0.0,,,,
71,09/28/21 04:15:00 AM,20.424,0.0,,,,
72,09/28/21 04:30:00 AM,20.138,0.0,,,,
73,09/28/21 04:45:00 AM,19.948,0.0,,,,
74,09/28/21 05:00:00 AM,19.758,0.0,,,,
75,09/28/21 05:15:00 AM,19.472,0.0,,,,
76,09/28/21 05:30:00 AM,19.282,0.0,,,,
77,09/28/21 05:45:00 AM,19.187,0.0,,,,
78,09/28/21 06:00:00 AM,18.996,0.0,,,,
79,09/28/21 06:15:00 AM,18.901,0.0,,,,
80,09/28/21 06:30:00 AM,18.901,0.0,,,,
81,09/28/21 06:45:00 AM,18.806,0.0,,,,
82,09/28/21 07:00:00 AM,18.806,0.0,,,,
83,09/28/21 07:15:00 AM,18.806,0.0,,,,
84,09/28/21 07:30:00 AM,18.996,0.0,,,,
85,09/28/21 07:45:00 AM,19.092,0.0,,,,
86,09/28/21 08:00:00 AM,19.377,0.0,,,,
87,09/28/21 08:15:00 AM,19.758,0.0,,,,
88,09/28/21 08:30:00 AM,20.329,0.0,,,,
89,09/28/21 08:45:00 AM,20.901,0.0,,,,
90,09/28/21 09:00:00 AM,21.378,0.0,,,,
91,09/28/21 09:15:00 AM,22.046,0.0,,,,
92,09/28/21 09:30:00 AM,22.717,0.0,,,,
93,09/28/21 09:45:00 AM,23.484,0.0,,,,
94,09/28/21 10:00:00 AM,24.158,0.0,,,,
95,09/28/21 10:15:00 AM,25.028,0.0,,,,
96,09/28/21 10:30:00 AM,26.585,0.0,,,,
97,09/28/21 10:45:00 AM,28.258,0.0,,,,
98,09/28/21 11:00:00 AM,30.154,0.0,,,,
99,09/28/21 11:15:00 AM,30.457,0.0,,,,
100,09/28/21 11:30:00 AM,30.457,0.0,,,,
101,09/28/21 11:45:00 AM,30.963,0.0,,,,
102,09/28/21 12:00:00 PM,33.014,0.0,,,,
103,09/28/21 12:15:00 PM,33.118,0.0,,,,
104,09/28/21 12:30:00 PM,33.118,0.0,,,,
105,09/28/21 12:45:00 PM,33.326,0.0,,,,
106,09/28/21 01:00:00 PM,32.807,0.0,,,,
107,09/28/21 01:15:00 PM,32.807,0.0,,,,
108,09/28/21 01:30:00 PM,32.704,0.0,,,,
109,09/28/21 01:45:00 PM,33.639,0.0,,,,
110,09/28/21 02:00:00 PM,34.585,0.0,,,,
111,09/28/21 02:15:00 PM,33.848,0.0,,,,
