"Plot Title: 21044172"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 21044172, SEN S/N: 21044172)","Intensity, Lux (LGR S/N: 21044172, SEN S/N: 21044172)","End Of File (LGR S/N: 21044172)"
1,09/02/21 05:00:00 PM,30.862,0.0,
2,09/02/21 05:15:00 PM,29.352,0.0,
3,09/02/21 05:30:00 PM,28.159,0.0,
4,09/02/21 05:45:00 PM,27.764,0.0,
5,09/02/21 06:00:00 PM,27.468,0.0,
6,09/02/21 06:15:00 PM,27.075,0.0,
7,09/02/21 06:30:00 PM,26.781,0.0,
8,09/02/21 06:45:00 PM,26.488,0.0,
9,09/02/21 07:00:00 PM,26.000,0.0,
10,09/02/21 07:15:00 PM,25.319,0.0,
11,09/02/21 07:30:00 PM,24.835,0.0,
12,09/02/21 07:45:00 PM,24.545,0.0,
13,09/02/21 08:00:00 PM,24.351,0.0,
14,09/02/21 08:15:00 PM,24.158,0.0,
15,09/02/21 08:30:00 PM,24.062,0.0,
16,09/02/21 08:45:00 PM,24.062,0.0,
17,09/02/21 09:00:00 PM,23.869,0.0,
18,09/02/21 09:15:00 PM,23.388,0.0,
19,09/02/21 09:30:00 PM,23.100,0.0,
20,09/02/21 09:45:00 PM,23.196,0.0,
21,09/02/21 10:00:00 PM,23.004,0.0,
22,09/02/21 10:15:00 PM,23.196,0.0,
23,09/02/21 10:30:00 PM,23.292,0.0,
24,09/02/21 10:45:00 PM,23.196,118.4,
25,09/02/21 11:00:00 PM,23.292,0.0,
26,09/02/21 11:15:00 PM,23.196,0.0,
27,09/02/21 11:30:00 PM,23.100,0.0,
28,09/02/21 11:45:00 PM,23.100,0.0,
29,09/03/21 12:00:00 AM,23.196,0.0,
30,09/03/21 12:15:00 AM,23.292,0.0,
31,09/03/21 12:30:00 AM,23.292,0.0,
32,09/03/21 12:45:00 AM,23.196,0.0,
33,09/03/21 01:00:00 AM,23.196,0.0,
34,09/03/21 01:15:00 AM,23.100,0.0,
35,09/03/21 01:30:00 AM,23.004,0.0,
36,09/03/21 01:45:00 AM,22.908,0.0,
37,09/03/21 02:00:00 AM,22.908,0.0,
38,09/03/21 02:15:00 AM,22.908,0.0,
39,09/03/21 02:30:00 AM,22.812,0.0,
40,09/03/21 02:45:00 AM,22.717,0.0,
41,09/03/21 03:00:00 AM,22.812,0.0,
42,09/03/21 03:15:00 AM,23.004,10.8,
43,09/03/21 03:30:00 AM,23.004,0.0,
44,09/03/21 03:45:00 AM,23.100,64.6,
45,09/03/21 04:00:00 AM,23.100,22044.6,
46,09/03/21 04:15:00 AM,23.100,16533.4,
47,09/03/21 04:30:00 AM,22.621,16533.4,
48,09/03/21 04:45:00 AM,22.525,23422.4,
49,09/03/21 05:00:00 AM,22.429,22044.6,
50,09/03/21 05:15:00 AM,22.429,24800.2,
51,09/03/21 05:30:00 AM,22.333,26178.0,
52,09/03/21 05:45:00 AM,22.238,26178.0,
53,09/03/21 06:00:00 AM,22.142,27555.7,
54,09/03/21 06:15:00 AM,21.951,28933.5,
55,09/03/21 06:30:00 AM,21.855,30311.3,
56,09/03/21 06:45:00 AM,21.760,30311.3,
57,09/03/21 07:00:00 AM,21.855,31689.1,
58,09/03/21 07:15:00 AM,21.951,14466.8,
59,09/03/21 07:30:00 AM,22.142,86.1,
60,09/03/21 07:45:00 AM,22.238,53.8,
61,09/03/21 08:00:00 AM,22.333,43.1,
62,09/03/21 08:15:00 AM,22.525,32.3,
63,09/03/21 08:30:00 AM,22.908,32.3,
64,09/03/21 08:45:00 AM,23.100,32.3,
65,09/03/21 09:00:00 AM,23.292,32.3,
66,09/03/21 09:15:00 AM,23.581,32.3,
67,09/03/21 09:30:00 AM,23.869,32.3,
68,09/03/21 09:45:00 AM,24.158,32.3,
69,09/03/21 10:00:00 AM,24.545,32.3,
70,09/03/21 10:15:00 AM,24.641,21.5,
71,09/03/21 10:30:00 AM,24.738,0.0,
72,09/03/21 10:45:00 AM,24.835,0.0,
73,09/03/21 11:00:00 AM,25.416,0.0,
74,09/03/21 11:15:00 AM,26.585,0.0,
75,09/03/21 11:30:00 AM,26.292,0.0,
76,09/03/21 11:45:00 AM,26.000,0.0,
77,09/03/21 12:00:00 PM,25.805,0.0,
78,09/03/21 12:15:00 PM,26.292,0.0,
79,09/03/21 12:30:00 PM,26.488,0.0,
80,09/03/21 12:45:00 PM,26.292,0.0,
81,09/03/21 01:00:00 PM,26.390,0.0,
82,09/03/21 01:15:00 PM,26.585,0.0,
83,09/03/21 01:30:00 PM,26.488,0.0,
84,09/03/21 01:45:00 PM,26.390,0.0,
85,09/03/21 02:00:00 PM,26.585,0.0,
86,09/03/21 02:15:00 PM,26.683,0.0,
87,09/03/21 02:30:00 PM,26.781,0.0,
88,09/03/21 02:45:00 PM,26.683,0.0,
89,09/03/21 03:00:00 PM,26.488,0.0,
90,09/03/21 03:15:00 PM,26.488,0.0,
91,09/03/21 03:30:00 PM,26.390,0.0,
92,09/03/21 03:45:00 PM,26.292,0.0,
93,09/03/21 04:00:00 PM,26.195,0.0,
94,09/03/21 04:15:00 PM,26.195,0.0,
95,09/03/21 04:30:00 PM,26.195,0.0,
96,09/03/21 04:45:00 PM,26.195,0.0,
97,09/03/21 05:00:00 PM,26.292,0.0,
98,09/03/21 05:15:00 PM,26.292,0.0,
99,09/03/21 05:30:00 PM,26.585,0.0,
100,09/03/21 05:45:00 PM,26.879,0.0,
101,09/03/21 06:00:00 PM,26.683,0.0,
102,09/03/21 06:15:00 PM,26.390,0.0,
103,09/03/21 06:30:00 PM,26.000,0.0,
104,09/03/21 06:45:00 PM,25.708,0.0,
105,09/03/21 07:00:00 PM,25.513,0.0,
106,09/03/21 07:15:00 PM,25.222,0.0,
107,09/03/21 07:30:00 PM,24.931,0.0,
108,09/03/21 07:45:00 PM,24.545,0.0,
109,09/03/21 08:00:00 PM,24.255,0.0,
110,09/03/21 08:15:00 PM,24.062,0.0,
111,09/03/21 08:30:00 PM,23.773,0.0,
112,09/03/21 08:45:00 PM,23.677,0.0,
113,09/03/21 09:00:00 PM,23.484,0.0,
114,09/03/21 09:15:00 PM,23.388,0.0,
115,09/03/21 09:30:00 PM,23.292,0.0,
116,09/03/21 09:45:00 PM,23.196,0.0,
117,09/03/21 10:00:00 PM,23.100,0.0,
118,09/03/21 10:15:00 PM,23.004,0.0,
119,09/03/21 10:30:00 PM,22.908,0.0,
120,09/03/21 10:45:00 PM,22.812,0.0,
121,09/03/21 11:00:00 PM,22.717,0.0,
122,09/03/21 11:15:00 PM,22.621,0.0,
123,09/03/21 11:30:00 PM,22.621,0.0,
124,09/03/21 11:45:00 PM,22.525,0.0,
125,09/04/21 12:00:00 AM,22.525,0.0,
126,09/04/21 12:15:00 AM,22.525,0.0,
