"Plot Title: 21064696"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 21064696, SEN S/N: 21064696)","Intensity, Lux (LGR S/N: 21064696, SEN S/N: 21064696)","Coupler Attached (LGR S/N: 21064696)","Coupler Detached (LGR S/N: 21064696)","Host Connected (LGR S/N: 21064696)","Stopped (LGR S/N: 21064696)","End Of File (LGR S/N: 21064696)"
1,09/15/21 11:00:00 AM,25.125,0.0,,,,,
2,09/15/21 11:15:00 AM,25.513,21.5,,,,,
3,09/15/21 11:30:00 AM,24.255,43.1,,,,,
4,09/15/21 11:45:00 AM,23.966,64.6,,,,,
5,09/15/21 12:00:00 PM,24.062,86.1,,,,,
6,09/15/21 12:15:00 PM,24.255,107.6,,,,,
7,09/15/21 12:30:00 PM,24.545,107.6,,,,,
8,09/15/21 12:45:00 PM,25.416,107.6,,,,,
9,09/15/21 01:00:00 PM,26.488,118.4,,,,,
10,09/15/21 01:15:00 PM,27.567,118.4,,,,,
11,09/15/21 01:30:00 PM,26.781,107.6,,,,,
12,09/15/21 01:45:00 PM,26.781,118.4,,,,,
13,09/15/21 02:00:00 PM,27.173,118.4,,,,,
14,09/15/21 02:15:00 PM,27.075,118.4,,,,,
15,09/15/21 02:30:00 PM,27.075,118.4,,,,,
16,09/15/21 02:45:00 PM,27.764,118.4,,,,,
17,09/15/21 03:00:00 PM,27.567,118.4,,,,,
18,09/15/21 03:15:00 PM,27.764,118.4,,,,,
19,09/15/21 03:30:00 PM,27.665,118.4,,,,,
20,09/15/21 03:45:00 PM,27.567,118.4,,,,,
21,09/15/21 04:00:00 PM,27.468,118.4,,,,,
22,09/15/21 04:15:00 PM,27.272,118.4,,,,,
23,09/15/21 04:30:00 PM,27.173,118.4,,,,,
24,09/15/21 04:45:00 PM,27.173,118.4,,,,,
25,09/15/21 05:00:00 PM,26.879,118.4,,,,,
26,09/15/21 05:15:00 PM,26.977,118.4,,,,,
27,09/15/21 05:30:00 PM,27.075,118.4,,,,,
28,09/15/21 05:45:00 PM,26.879,129.2,,,,,
29,09/15/21 06:00:00 PM,26.683,129.2,,,,,
30,09/15/21 06:15:00 PM,26.390,129.2,,,,,
31,09/15/21 06:30:00 PM,26.195,129.2,,,,,
32,09/15/21 06:45:00 PM,25.902,139.9,,,,,
33,09/15/21 07:00:00 PM,25.513,139.9,,,,,
34,09/15/21 07:15:00 PM,25.222,150.7,,,,,
35,09/15/21 07:30:00 PM,24.641,150.7,,,,,
36,09/15/21 07:45:00 PM,24.062,161.5,,,,,
37,09/15/21 08:00:00 PM,23.484,183.0,,,,,
38,09/15/21 08:15:00 PM,23.196,193.8,,,,,
39,09/15/21 08:30:00 PM,22.908,215.3,,,,,
40,09/15/21 08:45:00 PM,22.717,226.0,,,,,
41,09/15/21 09:00:00 PM,22.621,236.8,,,,,
42,09/15/21 09:15:00 PM,22.429,247.6,,,,,
